Player ,Position,Team,Year ,ConfStanding,era ,w,l ,app,gs ,cg ,isho ,csho,sv ,ip ,h ,r ,er ,bb ,so ,2b ,3b ,hr ,ab ,bavg ,wp ,hbp ,bk ,1stTeam ,2ndTeam
Pomierski,P,CSUP ,2011,4,2.15 ,2,2 ,24,0 ,0 ,0,0 ,6 ,46.0 ,36 ,20 ,11 ,22 ,45 ,9 ,0 ,1 ,169 ,.213 ,2 ,1 ,0 ,No,Yes
Richmond,P,CSUP ,2011,4,3.92 ,1,0 ,11,1 ,0 ,0,0 ,0 ,20.2 ,22 ,12 ,9 ,18 ,20 ,2 ,0 ,0 ,80 ,.275 ,1 ,5 ,1 ,No,No
Stephens,P,CSUP ,2011,4,5.19 ,6,5 ,12,12 ,0 ,0,0 ,0 ,76.1 ,89 ,49 ,44 ,29 ,72 ,12 ,6 ,8 ,307 ,.290 ,13 ,14 ,0 ,No,Yes
Struble,P,CSUP ,2011,4,5.78 ,4,6 ,12,12 ,3 ,1,0 ,0 ,71.2 ,91 ,51 ,46 ,25 ,32 ,14 ,3 ,7 ,294 ,.310 ,6 ,9 ,0 ,No,No
Bishop,P,CSUP ,2012,3,6.57 ,0,1 ,11,0 ,0 ,0,0 ,0 ,12.1 ,16 ,10 ,9 ,10 ,8 ,4 ,0 ,0 ,49 ,.327 ,2 ,3 ,1 ,No,No
Clemens,P,CSUP ,2012,3,6.32 ,5,2 ,15,10 ,1 ,1,0 ,0 ,62.2 ,85 ,49 ,44 ,32 ,18 ,17 ,1 ,2 ,264 ,.322 ,7 ,5 ,3 ,No,No
Fabrizio,P,CSUP ,2012,3,4.38 ,7,6 ,16,14 ,4 ,0,0 ,0 ,102.2 ,122 ,63 ,50 ,32 ,87 ,27 ,3 ,4 ,419 ,.291 ,10 ,12 ,2 ,Yes,No
Flory,P,CSUP ,2012,3,5.89 ,0,1 ,14,1 ,0 ,0,0 ,2 ,18.1 ,20 ,15 ,12 ,12 ,17 ,6 ,0 ,0 ,70 ,.286 ,1 ,2 ,0 ,No,No
Garner,P,CSUP ,2012,3,5.89 ,0,0 ,18,0 ,0 ,0,0 ,1 ,18.1 ,22 ,15 ,12 ,13 ,10 ,2 ,1 ,1 ,71 ,.310 ,3 ,1 ,0 ,No,No
Masterson,P,CSUP ,2012,3,4.10 ,2,1 ,11,5 ,1 ,0,0 ,0 ,41.2 ,44 ,19 ,19 ,10 ,15 ,10 ,1 ,4 ,161 ,.273 ,1 ,1 ,0 ,No,No
Montague,P,CSUP ,2012,3,0.00 ,0,0 ,1,0 ,0 ,0,0 ,0 ,0.1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,.000 ,0 ,0 ,0 ,No,No
Struble,P,CSUP ,2012,3,6.13 ,5,6 ,15,12 ,6 ,0,0 ,0 ,76.1 ,94 ,61 ,52 ,36 ,65 ,12 ,3 ,6 ,312 ,.301 ,10 ,9 ,1 ,No,No
Draeger,P,MSUD,2009,4,5.79,1,1,2,1,0,0,0,0,9.1,11,9,6,5,5,2,0,1,39,0.282,0,0,0,No,No
Eccles,P,MSUD,2009,4,7.96,3,1,22,1,0,0,0,2,31.2,47,34,28,13,29,11,1,6,131,0.359,9,5,0,No,No
Green,P,MSUD,2009,4,9.11,4,3,15,14,0,0,0,0,55.1,80,66,56,51,36,20,0,5,227,0.352,6,10,2,No,No
Hensen,P,MSUD,2009,4,10.12,0,0,6,0,0,0,0,0,8,13,9,9,8,2,7,0,0,31,0.419,1,1,1,No,No
Jamison,P,MSUD,2009,4,6.88,6,4,14,10,2,1,1,0,69.1,86,61,53,51,52,10,3,6,267,0.322,16,18,4,No,Yes
Lockhart,P,MSUD,2009,4,7.56,3,5,16,15,0,0,0,0,83.1,132,91,70,28,57,24,1,17,379,0.348,2,5,0,No,No
MacDonald,P,MSUD,2009,4,2.45,0,0,1,0,0,0,0,0,3.2,4,1,1,2,3,0,1,0,16,0.250,0,1,0,No,No
McDonald,P,MSUD,2009,4,5.18,5,6,18,6,0,0,0,4,57.1,73,48,33,25,38,8,1,8,240,0.304,8,15,1,No,No
Orgill,P,MSUD,2009,4,9.09,2,2,18,5,0,0,0,4,32.2,39,35,33,27,41,5,0,2,132,0.295,5,6,0,No,No
Walter,P,MSUD,2009,4,4.69,4,1,21,0,0,0,0,1,40.1,53,23,21,19,33,6,1,3,168,0.315,3,1,0,No,No
Weber,P,MSUD,2009,4,16.78,0,2,12,0,0,0,0,1,12.1,31,23,23,8,10,9,0,2,64,0.484,1,1,0,No,No
Widhalm,P,MSUD,2009,4,11.25,0,0,4,0,0,0,0,0,4,10,6,5,0,4,1,0,1,22,0.455,3,0,0,No,No
Draeger,P,MSUD,2010,4,5.24,5,2,9,9,1,0,0,0,55,66,36,32,36,29,8,0,6,215,0.307,1,3,0,No,No
Hensen,P,MSUD,2010,4,11.37,0,0,13,0,0,0,0,0,12.2,18,19,16,12,6,3,0,4,51,0.353,4,4,0,No,No
Hutchinson,P,MSUD,2010,4,20.25,0,0,2,0,0,0,0,0,1.1,2,3,3,1,0,0,0,1,6,0.333,0,0,0,No,No
Huyett,P,MSUD,2010,4,28.8,0,1,7,1,0,0,0,0,5,16,22,16,8,2,4,0,1,30,0.533,1,4,1,No,No
Jamison,P,MSUD,2010,4,5.78,4,4,13,13,3,0,0,0,76.1,94,66,49,50,43,19,0,10,310,0.303,17,10,0,No,No
Krueger,P,MSUD,2010,4,18,1,1,2,0,0,0,0,0,3,8,6,6,2,2,1,0,1,17,0.471,0,1,0,No,No
MacDonald,P,MSUD,2010,4,6.75,2,3,18,0,0,0,0,3,28,40,38,21,29,27,9,1,2,121,0.331,4,4,2,No,No
Perry,P,MSUD,2010,4,6.24,3,4,12,12,0,0,0,0,62,71,47,43,43,49,9,0,8,243,0.292,7,13,1,No,No
Van Bibber,P,MSUD,2010,4,10.26,2,3,12,4,0,0,0,0,33.1,58,44,38,16,17,7,0,6,152,0.382,7,6,0,No,No
Walter,P,MSUD,2010,4,7.26,2,2,18,2,0,0,0,1,39.2,56,35,32,18,26,9,0,8,165,0.339,3,1,2,No,No
Weber,P,MSUD,2010,4,9,2,4,18,3,0,0,0,0,26,49,36,26,11,11,8,0,5,128,0.383,3,6,0,No,No
Widhalm,P,MSUD,2010,4,20.52,0,0,7,0,0,0,0,0,8.1,21,19,19,7,6,5,0,3,45,0.467,1,0,0,No,No
Baca,P,MSUD,2014,7,3.65,3,2,16,2,1,1,1,0,44.1,50,21,18,15,21,5,1,1,166,0.301,3,1,0,No,No
Ford,P,MSUD,2014,7,4.72,0,3,13,0,0,0,0,2,13.1,12,10,7,9,8,2,0,0,46,0.261,1,5,1,No,No
Gojan,P,MSUD,2014,7,8.54,1,5,10,8,1,0,0,0,39,59,49,37,18,23,20,1,5,172,0.343,4,5,0,No,No
Hammett,P,MSUD,2014,7,6.75,2,5,12,10,1,1,1,0,50.2,73,50,38,26,26,16,2,4,212,0.344,8,10,0,No,No
Hand,P,MSUD,2014,7,2.12,3,3,13,6,4,0,0,2,51,54,19,12,14,31,8,2,0,204,0.265,3,3,0,No,Yes
Hansen,P,MSUD,2014,7,8.1,0,0,5,0,0,0,0,0,6.2,9,7,6,5,6,3,0,0,29,0.310,1,1,0,No,No
Lalk,P,MSUD,2014,7,4.5,3,1,15,0,0,0,0,0,24,23,15,12,6,19,2,1,1,82,0.280,0,6,3,No,No
Reeves,P,MSUD,2014,7,4.5,1,1,1,0,0,0,0,0,2,3,1,1,1,2,0,0,0,8,0.375,0,0,0,No,No
Roth,P,MSUD,2014,7,6.39,0,3,5,5,0,0,0,0,25.1,36,22,18,8,12,10,1,3,109,0.330,2,4,0,No,No
Stimpson,P,MSUD,2014,7,6.85,1,5,10,9,2,1,1,0,44.2,67,47,34,16,26,11,3,1,193,0.347,10,6,2,No,No
Stroup,P,MSUD,2014,7,0,0,0,2,0,0,0,0,0,1.2,0,0,0,1,0,0,0,0,4,0.000,0,1,0,No,No
Thill,P,MSUD,2014,7,3.42,0,2,5,3,1,0,0,0,23.2,23,11,9,14,19,4,0,0,85,0.271,2,5,0,No,No
Backes,P,MSUD ,2008,2,9.18 ,0,0 ,17,0 ,0 ,0,0 ,1 ,16.2 ,24 ,19 ,17 ,7 ,17 ,6 ,0 ,1 ,75 ,.320 ,7 ,10 ,0 ,No,No
Colbert,P,MSUD ,2008,2,7.82 ,3,0 ,25,0 ,0 ,0,0 ,3 ,35.2 ,51 ,32 ,31 ,13 ,24 ,11 ,2 ,7 ,153 ,.333 ,3 ,11 ,0 ,No,No
Eccles,P,MSUD ,2008,2,11.94 ,0,3 ,16,3 ,0 ,0,0 ,0 ,31.2 ,52 ,46 ,42 ,25 ,26 ,13 ,2 ,7 ,140 ,.371 ,4 ,7 ,0 ,No,No
Eckert,P,MSUD ,2008,2,5.80 ,7,4 ,25,2 ,1 ,0,0 ,2 ,54.1 ,66 ,39 ,35 ,29 ,45 ,13 ,1 ,4 ,215 ,.307 ,10 ,9 ,1 ,Yes,No
Klingsmth,P,MSUD ,2008,2,6.75 ,0,1 ,17,1 ,0 ,0,0 ,1 ,12.0 ,13 ,10 ,9 ,8 ,6 ,2 ,0 ,2 ,45 ,.289 ,0 ,4 ,1 ,No,No
Molinar,P,MSUD ,2008,2,0.00 ,0,0 ,1,0 ,0 ,0,0 ,0 ,1.1 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,4 ,.000 ,0 ,0 ,0 ,No,No
Weber,P,MSUD ,2008,2,16.39 ,0,0 ,7,0 ,0 ,0,0 ,0 ,9.1 ,23 ,18 ,17 ,5 ,6 ,7 ,0 ,3 ,51 ,.451 ,3 ,1 ,0 ,No,No
Widhalm,P,MSUD ,2008,2,33.75 ,0,0 ,1,0 ,0 ,0,0 ,0 ,1.1 ,4 ,5 ,5 ,3 ,1 ,2 ,1 ,0 ,7 ,.571 ,0 ,1 ,0 ,No,No
Carpenter,P,MSUD ,2011,3,0.00 ,0,0 ,1,0 ,0 ,0,0 ,0 ,1.0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,3 ,.000 ,0 ,0 ,0 ,No,No
Cleveland,P,MSUD ,2011,3,6.49 ,4,3 ,11,10 ,0 ,0,0 ,0 ,52.2 ,63 ,47 ,38 ,37 ,40 ,10 ,1 ,2 ,211 ,.299 ,10 ,11 ,4 ,No,No
Collins,P,MSUD ,2011,3,6.98 ,6,3 ,12,11 ,3 ,0,0 ,0 ,68.1 ,93 ,64 ,53 ,23 ,41 ,10 ,1 ,3 ,287 ,.324 ,8 ,13 ,1 ,No,No
Gojan,P,MSUD ,2011,3,4.63 ,0,1 ,9,0 ,0 ,0,0 ,0 ,11.2 ,13 ,6 ,6 ,2 ,5 ,3 ,0 ,1 ,44 ,.295 ,1 ,0 ,1 ,No,No
Hill,P,MSUD ,2011,3,6.38 ,2,1 ,15,0 ,0 ,0,0 ,0 ,18.1 ,19 ,17 ,13 ,19 ,20 ,2 ,0 ,1 ,72 ,.264 ,3 ,3 ,0 ,No,No
Jacobs,P,MSUD ,2011,3,2.84 ,1,1 ,11,0 ,0 ,0,0 ,6 ,12.2 ,11 ,5 ,4 ,7 ,18 ,0 ,0 ,1 ,45 ,.244 ,4 ,2 ,0 ,No,No
Leonard,P,MSUD ,2011,3,6.00 ,0,0 ,4,0 ,0 ,0,0 ,0 ,6.0 ,7 ,5 ,4 ,6 ,4 ,0 ,0 ,1 ,24 ,.292 ,1 ,1 ,0 ,No,No
Orgill,P,MSUD ,2011,3,5.56 ,1,0 ,7,0 ,0 ,0,0 ,0 ,11.1 ,14 ,8 ,7 ,5 ,12 ,2 ,0 ,1 ,48 ,.292 ,4 ,1 ,0 ,No,No
Perry,P,MSUD ,2011,3,3.93 ,7,3 ,12,12 ,4 ,1,0 ,0 ,73.1 ,86 ,50 ,32 ,33 ,52 ,10 ,0 ,6 ,291 ,.296 ,4 ,17 ,0 ,No,Yes
Van Bibber,P,MSUD ,2011,3,5.70 ,4,1 ,17,4 ,3 ,1,0 ,3 ,53.2 ,71 ,39 ,34 ,14 ,33 ,7 ,1 ,5 ,215 ,.330 ,4 ,7 ,1 ,No,No
Widhalm,P,MSUD ,2011,3,2.16 ,1,0 ,8,0 ,0 ,0,0 ,0 ,8.1 ,11 ,2 ,2 ,4 ,5 ,2 ,0 ,0 ,33 ,.333 ,0 ,0 ,0 ,No,No
Arceneaux,P,MSUD ,2012,7,5.21 ,3,5 ,12,12 ,4 ,1,0 ,0 ,76.0 ,117 ,57 ,44 ,14 ,46 ,15 ,2 ,6 ,320 ,.366 ,6 ,9 ,2 ,No,No
Gojan,P,MSUD ,2012,7,4.24 ,0,2 ,3,3 ,2 ,0,0 ,0 ,17.0 ,13 ,10 ,8 ,9 ,12 ,3 ,0 ,0 ,62 ,.210 ,0 ,2 ,1 ,No,No
Hammett,P,MSUD ,2012,7,7.30 ,1,8 ,11,10 ,2 ,0,0 ,0 ,53.0 ,58 ,54 ,43 ,33 ,39 ,6 ,3 ,1 ,205 ,.283 ,7 ,14 ,0 ,No,No
Hutchinso,P,MSUD ,2012,7,6.57 ,1,1 ,18,0 ,0 ,0,0 ,0 ,24.2 ,29 ,24 ,18 ,14 ,12 ,5 ,0 ,3 ,98 ,.296 ,2 ,7 ,1 ,No,No
Jacobs,P,MSUD ,2012,7,5.00 ,3,3 ,14,0 ,0 ,0,0 ,4 ,18.0 ,22 ,11 ,10 ,14 ,21 ,3 ,0 ,2 ,72 ,.306 ,7 ,0 ,0 ,No,No
Luzon,P,MSUD ,2012,7,9.11 ,2,4 ,11,10 ,0 ,0,0 ,0 ,54.1 ,82 ,61 ,55 ,22 ,24 ,15 ,3 ,5 ,224 ,.366 ,11 ,12 ,2 ,No,No
Thill,P,MSUD ,2012,7,6.75 ,4,5 ,12,11 ,1 ,1,0 ,0 ,50.2 ,73 ,55 ,38 ,38 ,38 ,10 ,1 ,4 ,217 ,.336 ,10 ,8 ,0 ,No,No
Ayers,P,NMHU,2009,2,12.46,1,1,5,0,0,0,0,1,4.1,9,6,6,4,4,1,0,4,20,0.450,0,1,0,No,No
Curtis,P,NMHU,2009,2,1.93,1,1,7,0,0,0,0,0,9.1,10,2,2,1,5,3,0,0,37,0.270,0,0,0,No,No
Grieve,P,NMHU,2009,2,4.89,2,1,16,2,0,0,0,2,38.2,44,23,21,14,24,3,0,4,157,0.280,6,1,1,No,No
Herman,P,NMHU,2009,2,16.57,0,1,14,0,0,0,0,0,14.2,37,28,27,11,13,9,0,0,80,0.463,1,1,0,No,No
Keith,P,NMHU,2009,2,4.3,2,1,17,0,0,0,0,1,29.1,37,17,14,7,20,3,0,3,120,0.308,1,0,0,No,No
Lopez,P,NMHU,2009,2,5.23,1,1,7,2,0,0,0,0,10.1,12,11,6,13,7,1,0,0,41,0.293,1,2,1,No,No
Nicasio,P,NMHU,2009,2,8.74,2,1,9,0,0,0,0,2,11.1,13,12,11,14,11,2,1,1,45,0.289,2,2,0,No,No
Palacios,P,NMHU,2009,2,6,5,3,14,9,1,0,0,1,66,89,53,44,15,44,17,5,7,278,0.320,0,1,2,No,No
Piho,P,NMHU,2009,2,16.52,2,1,11,3,0,0,0,0,22.1,56,44,41,11,16,13,1,5,112,0.500,5,6,0,No,No
Romero,P,NMHU,2009,2,5.66,8,2,15,15,6,1,1,0,90.2,114,67,57,24,89,22,7,6,373,0.306,2,3,1,No,Yes
Russell,P,NMHU,2009,2,15.75,1,2,10,2,0,0,0,0,12,27,22,21,19,9,6,2,1,59,0.458,2,3,0,No,No
Swanson,P,NMHU,2009,2,7.56,0,0,8,0,0,0,0,1,8.1,14,7,7,2,1,1,0,2,33,0.424,0,2,0,No,No
Torres,P,NMHU,2009,2,27,0,0,1,0,0,0,0,0,1,4,3,3,0,1,1,0,0,7,0.571,0,1,0,No,No
Vassil,P,NMHU,2009,2,5.02,9,4,15,15,5,0,0,0,107.2,137,71,60,24,74,29,2,8,448,0.306,5,5,1,Yes,No
Wichmann,P,NMHU,2009,2,6.45,4,2,10,10,0,0,0,0,44.2,59,40,32,20,23,13,1,2,178,0.331,2,9,3,No,No
Wood,P,NMHU,2009,2,13.11,1,4,12,2,0,0,0,0,11.2,14,19,17,14,9,5,0,2,46,0.304,1,3,0,No,No
Becerra,P,NMHU,2010,1,9.69,2,2,9,7,0,0,1,0,26,39,31,28,15,12,9,1,6,107,0.364,3,7,0,No,No
Brown,P,NMHU,2010,1,4.86,6,2,12,9,2,0,0,2,50,51,32,27,21,39,7,2,6,186,0.274,4,3,0,No,No
Doty,P,NMHU,2010,1,0,0,0,2,0,0,0,1,0,2.1,2,0,0,2,1,0,0,0,8,0.250,1,0,0,No,No
Evins,P,NMHU,2010,1,4.1,8,1,13,10,1,0,0,0,68,66,33,31,27,47,13,0,6,258,0.256,3,10,0,No,Yes
Gabbert,P,NMHU,2010,1,6.75,0,0,12,1,0,0,1,0,13.1,16,10,10,12,9,2,1,1,51,0.314,3,5,1,No,No
Grieve,P,NMHU,2010,1,4.93,2,1,21,2,0,0,1,2,42,52,25,23,11,26,10,1,4,169,0.308,2,2,1,No,No
Herrman,P,NMHU,2010,1,13.86,0,1,16,0,0,0,0,0,12.1,23,21,19,11,10,6,0,1,56,0.411,0,1,0,No,No
Lasenberr,P,NMHU,2010,1,11.05,0,0,5,1,0,0,1,0,7.1,16,10,9,4,9,4,0,1,39,0.410,1,0,0,No,No
Martin,P,NMHU,2010,1,9,0,0,3,0,0,0,0,0,6,6,6,6,2,1,1,0,2,23,0.261,0,1,0,No,No
Saiz,P,NMHU,2010,1,7.24,2,1,14,4,0,0,0,1,27.1,32,25,22,20,23,7,1,1,113,0.283,4,5,0,No,No
Sedillo,P,NMHU,2010,1,6.3,1,1,8,0,0,0,1,0,10,16,10,7,4,5,2,0,4,45,0.356,1,0,0,No,No
Shaddy,P,NMHU,2010,1,6.1,3,1,13,2,0,0,0,6,20.2,18,14,14,13,26,6,1,0,73,0.247,1,5,0,No,No
Vassil,P,NMHU,2010,1,4.34,12,2,16,15,3,0,1,0,103.2,120,61,50,22,74,23,1,13,413,0.291,5,5,1,Yes,No
Wichmann,P,NMHU,2010,1,6,5,1,20,3,0,0,0,0,39,53,32,26,13,21,9,2,8,162,0.327,1,7,0,No,No
Wisneski,P,NMHU,2010,1,10.03,0,1,9,0,0,0,1,0,11.2,20,15,13,1,7,3,1,2,50,0.400,0,2,1,No,No
Adams,P,NMHU,2014,2,18,0,0,1,0,0,0,0,0,1,1,2,2,1,2,1,0,0,4,0.250,1,1,0,No,No
Badalucco,P,NMHU,2014,2,11.88,1,1,9,0,0,0,0,1,8.1,18,13,11,7,3,4,1,3,39,0.462,3,0,0,No,No
Brown,P,NMHU,2014,2,4.75,5,1,9,6,3,0,0,1,41.2,46,28,22,6,32,7,1,2,170,0.271,5,4,4,No,No
Clark,P,NMHU,2014,2,5.95,2,1,15,6,0,0,0,1,39.1,58,31,26,19,26,5,2,0,163,0.356,5,2,1,No,No
Demarest,P,NMHU,2014,2,9,0,0,1,0,0,0,0,0,1,3,1,1,0,2,1,0,0,6,0.500,1,0,0,No,No
Goliat,P,NMHU,2014,2,9,0,0,3,0,0,0,0,0,2,3,2,2,2,2,0,0,1,9,0.333,0,1,0,No,No
Hansen,P,NMHU,2014,2,5.29,7,5,14,14,3,0,0,0,81.2,108,68,48,11,37,20,2,8,337,0.320,5,4,1,No,Yes
Harrison,P,NMHU,2014,2,5.5,7,2,15,13,1,0,0,0,93.1,126,65,57,25,55,20,1,7,383,0.329,13,7,0,No,Yes
Hernandez,P,NMHU,2014,2,5.4,1,1,6,0,0,0,0,1,6.2,5,5,4,8,7,1,0,0,24,0.208,2,2,0,No,No
Hicks,P,NMHU,2014,2,5.06,0,0,6,0,0,0,0,0,5.1,10,3,3,0,3,3,0,1,25,0.400,1,0,0,No,No
Martinez,P,NMHU,2014,2,16.2,0,0,5,1,0,0,0,0,6.2,11,13,12,6,2,5,0,3,28,0.393,1,2,0,No,No
McRae,P,NMHU,2014,2,6.15,3,4,18,6,1,0,0,1,52.2,70,43,36,15,22,18,3,7,211,0.332,4,3,1,No,No
Ruff,P,NMHU,2014,2,8.26,1,6,22,4,0,0,0,9,40.1,57,44,37,21,34,15,0,1,172,0.331,1,9,0,No,Yes
Settles,P,NMHU,2014,2,7.67,3,2,18,2,0,0,0,1,31.2,49,28,27,6,16,6,1,4,133,0.368,2,4,0,No,No
Trujillo,P,NMHU,2014,2,7.27,2,1,11,2,0,0,0,0,17.1,25,18,14,9,9,5,2,0,71,0.352,2,2,1,No,No
Aispuro,P,NMHU ,2008,6,11.57 ,0,0 ,3,0 ,0 ,0,0 ,0 ,2.1 ,4 ,3 ,3 ,2 ,0 ,1 ,1 ,0 ,10 ,.400 ,0 ,0 ,0 ,No,No
Ayers,P,NMHU ,2008,6,7.80 ,3,4 ,14,9 ,1 ,0,0 ,0 ,45.0 ,71 ,42 ,39 ,17 ,23 ,16 ,1 ,6 ,195 ,.364 ,5 ,9 ,0 ,No,No
Carranza,P,NMHU ,2008,6,7.11 ,4,3 ,20,0 ,0 ,0,0 ,1 ,38.0 ,59 ,36 ,30 ,10 ,14 ,3 ,0 ,5 ,160 ,.369 ,5 ,5 ,1 ,No,No
Curtis,P,NMHU ,2008,6,14.81 ,0,0 ,11,0 ,0 ,0,0 ,0 ,10.1 ,22 ,18 ,17 ,4 ,5 ,5 ,0 ,2 ,51 ,.431 ,3 ,3 ,0 ,No,No
Keith,P,NMHU ,2008,6,6.31 ,3,0 ,20,0 ,0 ,0,0 ,0 ,41.1 ,59 ,32 ,29 ,12 ,21 ,12 ,3 ,3 ,173 ,.341 ,4 ,1 ,0 ,No,No
Lopez,P,NMHU ,2008,6,5.59 ,1,0 ,2,2 ,0 ,0,0 ,0 ,9.2 ,10 ,7 ,6 ,4 ,4 ,1 ,0 ,3 ,37 ,.270 ,0 ,2 ,0 ,No,No
Martinez,P,NMHU ,2008,6,8.40 ,1,1 ,13,1 ,0 ,0,0 ,7 ,15.0 ,20 ,15 ,14 ,12 ,14 ,5 ,1 ,1 ,58 ,.345 ,3 ,0 ,1 ,No,No
Meredith,P,NMHU ,2008,6,10.01 ,3,1 ,11,7 ,0 ,0,0 ,0 ,29.2 ,42 ,33 ,33 ,22 ,7 ,6 ,2 ,3 ,125 ,.336 ,6 ,3 ,0 ,No,No
Nicasio,P,NMHU ,2008,6,7.00 ,1,0 ,10,0 ,0 ,0,0 ,0 ,9.0 ,11 ,9 ,7 ,2 ,4 ,2 ,0 ,1 ,37 ,.297 ,1 ,2 ,0 ,No,No
Romero,P,NMHU ,2008,6,11.28 ,1,4 ,11,6 ,0 ,0,0 ,0 ,26.1 ,44 ,40 ,33 ,17 ,28 ,9 ,0 ,4 ,124 ,.355 ,6 ,4 ,2 ,No,No
Schweninger,P,NMHU ,2008,6,8.85 ,3,1 ,15,5 ,1 ,0,0 ,0 ,40.2 ,62 ,41 ,40 ,19 ,22 ,12 ,0 ,5 ,170 ,.365 ,4 ,8 ,0 ,No,No
Swanson,P,NMHU ,2008,6,5.50 ,0,2 ,12,0 ,0 ,0,0 ,0 ,18.0 ,24 ,12 ,11 ,7 ,22 ,5 ,0 ,1 ,74 ,.324 ,3 ,3 ,0 ,No,No
Bowser,P,NMHU ,2011,6,5.82 ,0,1 ,18,0 ,0 ,0,3 ,5 ,17.0 ,17 ,12 ,11 ,10 ,21 ,5 ,0 ,1 ,69 ,.246 ,2 ,3 ,0 ,No,No
Evins,P,NMHU ,2011,6,5.62 ,4,7 ,13,13 ,1 ,0,0 ,0 ,81.2 ,99 ,61 ,51 ,38 ,72 ,17 ,3 ,6 ,332 ,.298 ,3 ,5 ,0 ,No,Yes
Fowler,P,NMHU ,2011,6,2.87 ,3,1 ,6,6 ,1 ,0,0 ,0 ,31.1 ,18 ,15 ,10 ,17 ,42 ,4 ,0 ,0 ,108 ,.167 ,2 ,4 ,0 ,No,No
Sandoval,P,NMHU ,2011,6,2.45 ,1,1 ,19,0 ,0 ,0,1 ,0 ,22.0 ,26 ,14 ,6 ,13 ,29 ,2 ,1 ,1 ,89 ,.292 ,4 ,6 ,0 ,No,No
Sedillo,P,NMHU ,2011,6,6.26 ,3,0 ,16,1 ,0 ,0,0 ,0 ,23.0 ,34 ,18 ,16 ,9 ,12 ,7 ,0 ,1 ,98 ,.347 ,1 ,3 ,0 ,No,No
Sirak,P,NMHU ,2011,6,6.10 ,5,5 ,15,11 ,2 ,0,1 ,0 ,62.0 ,83 ,47 ,42 ,14 ,48 ,18 ,1 ,5 ,256 ,.324 ,3 ,4 ,0 ,No,No
Tavorn,P,NMHU ,2011,6,5.87 ,0,0 ,12,0 ,0 ,0,0 ,0 ,15.1 ,19 ,11 ,10 ,11 ,15 ,4 ,0 ,0 ,63 ,.302 ,3 ,0 ,0 ,No,No
Vela,P,NMHU ,2011,6,4.96 ,3,3 ,13,9 ,0 ,0,2 ,0 ,52.2 ,53 ,34 ,29 ,33 ,47 ,8 ,1 ,4 ,205 ,.259 ,2 ,4 ,3 ,No,No
Waha,P,NMHU ,2011,6,4.73 ,2,2 ,13,3 ,0 ,0,0 ,1 ,32.1 ,35 ,20 ,17 ,18 ,30 ,6 ,1 ,2 ,125 ,.280 ,1 ,7 ,1 ,No,No
Almeida,P,NMHU ,2012,2,3.97 ,4,0 ,22,1 ,0 ,0,0 ,14 ,34.0 ,36 ,17 ,15 ,13 ,28 ,6 ,1 ,1 ,134 ,.269 ,2 ,6 ,0 ,No,Yes
Duncan,P,NMHU ,2012,2,5.25 ,1,0 ,8,0 ,0 ,0,0 ,1 ,12.0 ,16 ,13 ,7 ,8 ,3 ,2 ,0 ,2 ,56 ,.286 ,1 ,1 ,1 ,No,No
Fowler,P,NMHU ,2012,2,4.71 ,4,2 ,7,6 ,0 ,0,1 ,0 ,36.1 ,41 ,25 ,19 ,13 ,43 ,9 ,2 ,1 ,147 ,.279 ,4 ,5 ,1 ,No,No
Gonzalez,P,NMHU ,2012,2,4.41 ,2,0 ,13,0 ,0 ,0,1 ,0 ,16.1 ,17 ,9 ,8 ,2 ,10 ,3 ,1 ,0 ,65 ,.262 ,2 ,4 ,3 ,No,No
Gualco,P,NMHU ,2012,2,3.88 ,5,3 ,12,7 ,3 ,0,0 ,1 ,51.0 ,48 ,33 ,22 ,20 ,42 ,7 ,0 ,3 ,198 ,.242 ,3 ,0 ,0 ,No,No
King,P,NMHU ,2012,2,0.00 ,0,0 ,1,0 ,0 ,0,0 ,0 ,1.0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,.250 ,0 ,0 ,0 ,No,No
McDermott,P,NMHU ,2012,2,6.17 ,0,0 ,11,0 ,0 ,0,0 ,0 ,11.2 ,10 ,12 ,8 ,9 ,5 ,1 ,0 ,0 ,43 ,.233 ,0 ,1 ,0 ,No,No
McMahon,P,NMHU ,2012,2,0.00 ,0,0 ,1,0 ,0 ,0,0 ,0 ,1.0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,2 ,.000 ,0 ,0 ,0 ,No,No
Prokupek,P,NMHU ,2012,2,4.58 ,7,5 ,13,13 ,0 ,0,0 ,0 ,72.2 ,84 ,49 ,37 ,25 ,46 ,16 ,2 ,7 ,296 ,.284 ,4 ,10 ,1 ,No,No
Sandoval,P,NMHU ,2012,2,4.50 ,3,0 ,19,1 ,0 ,0,0 ,2 ,24.0 ,34 ,19 ,12 ,10 ,27 ,8 ,0 ,0 ,106 ,.321 ,2 ,7 ,1 ,No,No
Sirak,P,NMHU ,2012,2,5.65 ,7,1 ,17,12 ,1 ,1,0 ,1 ,78.0 ,102 ,61 ,49 ,18 ,47 ,14 ,3 ,7 ,323 ,.316 ,2 ,7 ,1 ,No,No
