Player ,Position,Team,Year ,ConfStanding,era ,w,l ,app,gs ,cg ,isho ,csho,sv ,ip ,h ,r ,er ,bb ,so ,2b ,3b ,hr ,ab ,bavg ,wp ,hbp ,bk ,1stTeam ,2ndTeam
Trivisonn,P,CSM,2009,8,99,0,0,1,0,0,0,0,0,0,1,3,3,2,0,0,0,0,1,1.000,0,0,0,No,No
Wagner,P,CSM,2009,8,17.65,0,0,10,0,0,0,0,0,8.2,17,18,17,13,6,4,0,0,44,0.386,3,2,0,No,No
Ast,P,CSM,2010,7,7.81,2,6,12,12,1,0,0,0,68,93,66,59,36,63,14,1,6,277,0.336,6,7,0,No,No
Bartlett,P,CSM,2010,7,9,0,0,2,0,0,0,0,0,2,1,2,2,2,0,1,0,0,6,0.167,1,2,0,No,No
Dunham,P,CSM,2010,7,5.4,1,3,12,1,0,0,0,1,16.2,17,13,10,11,12,1,0,3,65,0.262,3,0,0,No,No
Evans,P,CSM,2010,7,13.5,0,0,3,0,0,0,0,0,2,3,3,3,0,1,3,0,0,8,0.375,1,1,0,No,No
Fuller,P,CSM,2010,7,7.2,0,0,8,0,0,0,0,0,10,17,11,8,10,9,3,0,0,43,0.395,1,0,0,No,No
Harris,P,CSM,2010,7,10.8,0,0,2,0,0,0,0,0,3.1,5,4,4,3,1,0,0,1,15,0.333,1,2,0,No,No
Jansen,P,CSM,2010,7,7.94,1,1,7,0,0,0,0,0,5.2,13,7,5,1,6,2,0,2,31,0.419,1,2,1,No,No
Pena,P,CSM,2010,7,6.75,0,1,5,0,0,0,0,0,4,5,7,3,3,3,1,1,2,17,0.294,1,2,0,No,No
Pickett,P,CSM,2010,7,12,1,3,11,0,0,0,0,0,12,24,18,16,6,7,4,1,2,55,0.436,2,3,1,No,No
Poulin,P,CSM,2010,7,11.42,0,0,7,0,0,0,0,0,8.2,14,12,11,6,7,5,1,0,39,0.359,1,4,0,No,No
Rogers,P,CSM,2010,7,5.53,1,5,10,9,2,0,0,0,55.1,70,42,34,9,37,14,0,11,227,0.308,4,3,1,No,Yes
Ryan,P,CSM,2010,7,7.47,3,3,12,5,0,0,0,0,47,72,46,39,18,38,18,3,5,199,0.362,5,12,0,No,No
Schuler,P,CSM,2010,7,10.01,1,4,14,10,0,0,0,2,47.2,88,65,53,27,49,17,3,6,221,0.398,7,5,0,No,No
Smiley,P,CSM,2010,7,7.36,2,1,12,2,0,0,0,0,18.1,23,18,15,20,10,3,1,4,70,0.329,5,0,0,No,No
Wagner,P,CSM,2010,7,9.53,0,0,6,0,0,0,0,0,5.2,6,6,6,2,3,1,0,2,22,0.273,2,3,0,No,No
Gilman,P,CSM,2014,4,6.22,5,5,11,11,1,0,0,0,63.2,85,48,44,18,45,11,3,3,269,0.316,6,3,0,No,No
Herrin,P,CSM,2014,4,6.2,1,1,13,1,0,0,0,3,20.1,21,18,14,10,17,4,1,1,78,0.269,2,2,0,No,No
Kovach,P,CSM,2014,4,4.11,1,1,13,0,0,0,0,1,15.1,20,9,7,6,9,3,1,0,64,0.313,1,2,1,No,No
Lambert,P,CSM,2014,4,13.5,0,0,2,0,0,0,0,0,1.1,4,3,2,1,0,2,0,0,8,0.500,1,1,0,No,No
MacDonald,P,CSM,2014,4,6.75,0,0,4,0,0,0,0,0,4,6,3,3,3,1,1,0,0,16,0.375,0,0,0,No,No
Olinger,P,CSM,2014,4,3.6,6,4,13,10,4,0,0,1,65,67,33,26,13,41,11,0,10,246,0.272,2,4,0,Yes,No
Phillips,P,CSM,2014,4,12,0,0,3,0,0,0,0,0,3,8,4,4,1,4,3,0,0,16,0.500,1,0,0,No,No
Ramos,P,CSM,2014,4,13.5,0,0,2,1,0,0,0,0,3.1,4,5,5,2,2,2,0,1,12,0.333,1,0,0,No,No
Rodgers,P,CSM,2014,4,3.96,4,3,12,12,1,0,0,0,63.2,62,34,28,25,41,14,0,2,238,0.261,7,19,2,No,No
Rooney,P,CSM,2014,4,6.24,5,5,12,10,1,0,0,0,57.2,66,51,40,25,39,13,6,4,222,0.297,5,10,2,No,No
Smythe,P,CSM,2014,4,4.86,0,0,12,0,0,0,0,2,16.2,22,14,9,9,14,4,1,0,70,0.314,3,2,1,No,No
Storm,P,CSM,2014,4,0,0,0,5,0,0,0,0,0,7,6,0,0,1,5,0,0,0,25,0.240,1,0,0,No,No
Valerio,P,CSM,2014,4,2.33,1,1,12,1,0,0,0,1,19.1,18,6,5,11,13,1,1,2,70,0.257,1,0,0,No,No
Vitulli,P,CSM,2014,4,3.27,1,2,13,1,0,0,0,0,22,26,14,8,8,3,4,1,1,85,0.306,0,0,1,No,No
Wurster,P,CSM,2014,4,6.75,0,2,6,0,0,0,0,0,6.2,6,5,5,2,4,2,0,0,23,0.261,0,3,0,No,No
Baudendistel,P,CSM ,2008,5,10.24 ,2,2 ,21,0 ,0 ,0,0 ,1 ,29.0 ,39 ,47 ,33 ,30 ,24 ,7 ,0 ,2 ,125 ,.312 ,10 ,5 ,1 ,No,No
Hinchman,P,CSM ,2008,5,12.79 ,0,0 ,11,0 ,0 ,0,0 ,0 ,12.2 ,29 ,20 ,18 ,6 ,6 ,6 ,1 ,3 ,68 ,.426 ,4 ,0 ,1 ,No,No
Koniz,P,CSM ,2008,5,15.92 ,0,0 ,13,1 ,0 ,0,0 ,0 ,13.0 ,31 ,25 ,23 ,12 ,9 ,6 ,1 ,1 ,65 ,.477 ,5 ,2 ,2 ,No,No
Neptune,P,CSM ,2008,5,10.12 ,0,2 ,14,0 ,0 ,0,0 ,0 ,21.1 ,35 ,32 ,24 ,15 ,12 ,7 ,0 ,3 ,98 ,.357 ,5 ,5 ,0 ,No,No
Pena,P,CSM ,2008,5,10.97 ,0,2 ,14,0 ,0 ,0,0 ,0 ,10.2 ,21 ,14 ,13 ,9 ,9 ,5 ,0 ,0 ,53 ,.396 ,2 ,1 ,1 ,No,No
Riege,P,CSM ,2008,5,19.55 ,0,1 ,6,0 ,0 ,0,0 ,0 ,9.2 ,25 ,21 ,21 ,6 ,9 ,7 ,0 ,4 ,54 ,.463 ,1 ,4 ,0 ,No,No
Schuler,P,CSM ,2008,5,9.27 ,4,2 ,25,1 ,0 ,0,0 ,7 ,33.0 ,55 ,41 ,34 ,30 ,26 ,13 ,1 ,3 ,140 ,.393 ,4 ,2 ,1 ,No,Yes
Smiley,P,CSM ,2008,5,11.27 ,1,3 ,14,7 ,0 ,0,0 ,0 ,42.1 ,78 ,66 ,53 ,25 ,27 ,23 ,1 ,6 ,192 ,.406 ,3 ,4 ,0 ,No,No
