Player ,Position,Team,Year,ConfStanding,era ,w,l ,app,gs ,cg ,isho ,csho,sv ,ip ,h ,r ,er ,bb ,so ,2b ,3b ,hr ,ab ,bavg ,wp ,hbp ,bk ,Award
Capistran,P,CMU ,2015,1,1.02,7,0,22,0,0,0,1,4,35.1,23,7,4,7,38,5,0,1,124,0.185,1,2,0,2
Behr,P,CMU ,2015,1,1.46,2,1,17,2,0,0,1,0,37,34,17,6,11,38,9,0,1,144,0.236,4,2,1,2
Ramirez,P,CMU ,2017,1,3.38,10,1,16,15,3,2,0,0,85.1,72,37,32,20,91,11,1,5,306,0.258,5,5,0,2
Schuler,P,CSM ,2008,5,9.27,4,2,25,1,0,0,0,7,33,55,41,34,30,26,13,1,3,140,0.393,4,2,1,2
Gojan,P,MSUD,2013,6,3.83,4,5,13,12,2,0,1,0,84.2,87,48,36,25,36,15,1,0,319,0.273,6,12,1,2
Perry,P,MSUD ,2011,3,3.93,7,3,12,12,4,1,0,0,73.1,86,50,32,33,52,10,0,6,291,0.296,4,17,0,2
Ramirez,P,CMU ,2017,1,3.38,10,1,16,15,3,2,0,0,85.1,72,37,32,20,91,11,1,5,306,0.258,5,5,0,2
Stephens,P,CSUP,2010,5,5.33,4,4,13,7,3,0,1,2,50.2,65,35,30,19,33,14,2,5,205,0.317,4,8,0,2
Hernandez,P,CSUP,2009,3,6.47,3,4,32,3,1,0,1,7,64,74,55,46,38,67,21,1,4,257,0.288,15,7,0,2
Hand,P,MSUD,2014,7,2.12,3,3,13,6,4,0,0,2,51,54,19,12,14,31,8,2,0,204,0.265,3,3,0,2
Loseke,P,UNK ,2012,5,5.73,4,6,15,10,3,1,1,0,77,96,54,49,30,53,28,5,4,315,0.305,1,4,1,2
Jamison,P,MSUD,2009,4,6.88,6,4,14,10,2,1,1,0,69.1,86,61,53,51,52,10,3,6,267,0.322,16,18,4,2
Allen,P,CMU ,2016,1,3.09,6,1,16,14,2,1,1,1,75.2,74,28,26,18,60,19,1,3,290,0.255,1,8,0,2
Fabrizio,P,CSUP,2013,2,4.37,7,2,12,10,4,0,1,1,68,82,37,33,27,43,22,1,4,272,0.301,5,6,5,2
Valerio,P,CSM ,2016,2,5.83,6,0,12,10,0,0,0,0,58.2,81,39,38,20,29,14,3,6,236,0.343,2,2,0,2
Hansen,P,NMHU,2014,2,5.29,7,5,14,14,3,0,0,0,81.2,108,68,48,11,37,20,2,8,337,0.32,5,4,1,2
Snell,P,CMU,2013,1,2.89,7,1,14,14,0,0,1,0,84,74,42,27,46,94,8,1,2,313,0.236,7,9,5,2
Mattivi,P,CSUP ,2008,7,4.92,7,2,17,10,1,0,0,1,64,78,47,35,35,53,19,2,2,262,0.298,11,8,3,2
Davis,P,CMU,2014,1,3.29,7,1,14,14,0,0,0,0,82,86,37,30,24,45,12,2,1,311,0.277,2,7,0,2
