Player ,Position,Team,Year,ConfStanding,era ,w,l ,app,gs ,cg ,isho ,csho,sv ,ip ,h ,r ,er ,bb ,so ,2b ,3b ,hr ,ab ,bavg ,wp ,hbp ,bk ,Award
Sawyer,P,CMU ,2011,2,5.29,2,0,13,0,0,0,0,1,17,19,11,10,6,16,5,0,1,68,0.279,2,2,2,0
Peters,P,UNK ,2012,5,7.52,5,5,13,12,4,0,0,0,61,101,64,51,15,43,22,3,8,282,0.358,7,13,0,0
Ginter,P,CSUP,2013,2,7.17,2,4,15,0,0,0,1,1,21.1,26,21,17,12,22,5,0,2,91,0.286,4,7,1,0
Keaton,P,ASU ,2016,4,6.68,3,6,15,12,2,0,0,0,68.2,79,62,51,51,87,14,1,6,280,0.282,16,6,0,0
Tanner,P,CSM ,2016,2,7.71,0,0,5,0,0,0,0,0,4.2,5,4,4,4,2,0,1,0,17,0.294,1,1,1,0
Aramovich,P,ASU,2014,6,6.39,0,0,7,0,0,0,0,0,12.2,19,11,9,6,8,5,0,1,52,0.365,2,3,0,0
Trulin,P,UNK,2009,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silva,P,RU ,2008,3,10.5,1,1,7,4,0,0,0,1,18,21,21,21,26,16,6,0,3,69,0.304,9,6,1,0
Atkerson,P,CCU ,2015,8,6.07,1,8,12,10,0,0,0,0,59.1,81,46,40,22,41,20,3,7,247,0.328,7,6,1,0
Gutierrez,P,NMHU ,2016,7,3.68,1,2,15,1,0,0,0,3,36.2,39,16,15,6,30,5,1,1,138,0.283,4,8,1,0
Hemphill,P,RU,2013,4,11.05,0,0,5,0,0,0,1,0,7.1,13,10,9,6,10,3,0,0,32,0.406,1,0,1,0
Picconi,P,RU,2014,5,13.5,1,1,12,1,0,0,0,0,16.2,42,30,25,9,7,5,0,2,87,0.483,0,5,1,0
Williams,P,ASU,2014,6,7.71,1,4,13,8,0,0,0,0,49,88,46,42,10,17,13,3,4,231,0.381,0,6,0,0
Allen,P,CMU,2013,1,3.52,0,0,9,0,0,0,1,0,7.2,8,5,3,2,5,0,0,0,32,0.25,0,0,0,0
Roth,P,MSUD,2014,7,6.39,0,3,5,5,0,0,0,0,25.1,36,22,18,8,12,10,1,3,109,0.33,2,4,0,0
Wilborn,P,CCU,2009,7,6.72,6,8,17,14,2,0,1,0,87,108,78,65,50,74,23,2,11,357,0.303,2,8,0,0
Moore,P,CCU,2013,8,9.91,1,4,16,6,0,0,1,0,36.1,61,46,40,22,21,12,0,3,159,0.384,6,10,2,0
Wright,P,CCU ,2017,8,13.5,0,1,8,0,0,0,0,3,6,6,10,9,6,12,3,0,1,43,0.349,1,3,0,0
Lofink,P,ASU ,2017,9,11.88,1,2,16,0,0,0,0,1,16.2,32,28,22,22,12,6,1,2,93,0.361,3,3,1,0
Clark,P,NMHU,2014,2,5.95,2,1,15,6,0,0,0,1,39.1,58,31,26,19,26,5,2,0,163,0.356,5,2,1,0
Jacobs,P,MSUD ,2012,7,5,3,3,14,0,0,0,0,4,18,22,11,10,14,21,3,0,2,72,0.306,7,0,0,0
Lambert,P,CSM,2014,4,13.5,0,0,2,0,0,0,0,0,1.1,4,3,2,1,0,2,0,0,8,0.5,1,1,0,0
Herrin,P,CSM,2013,5,7.52,0,2,13,1,0,0,1,1,20.1,22,21,17,15,17,2,0,2,78,0.282,1,8,0,0
Schmitt,P,ASU,2013,7,9.54,2,6,13,11,0,0,1,0,50,91,68,53,18,25,14,5,8,233,0.391,2,4,1,0
Phillips,P,CSM,2014,4,12,0,0,3,0,0,0,0,0,3,8,4,4,1,4,3,0,0,16,0.5,1,0,0,0
O'Donnell,P,MSUD ,2016,5,3.38,1,1,10,0,0,0,0,1,16,15,8,6,4,14,5,0,1,63,0.238,0,0,0,0
Riley,P,CMU,2010,2,7.71,4,5,14,2,0,0,0,1,28,39,26,24,15,15,7,0,5,120,0.325,2,3,1,0
Crawford,P,CCU,2013,8,5.64,2,9,13,12,4,1,1,0,67,76,47,42,37,42,18,3,2,263,0.289,13,7,1,0
Boganowski,P,UNK ,2008,4,7.56,2,3,21,4,0,0,0,0,50,77,50,42,13,25,15,0,7,224,0.344,4,3,2,0
Brower,P,CCU,2013,8,5.91,0,0,14,0,0,0,1,0,10.2,7,9,7,10,3,0,1,0,39,0.179,3,1,1,0
Bonati,P,RU ,2008,3,8.5,3,4,13,11,0,0,0,0,54,68,66,51,55,36,11,0,9,221,0.308,14,13,1,0
Nutsch,P,ASU ,2016,4,10.12,1,1,10,0,0,0,0,1,18.2,38,23,21,9,14,11,0,2,86,0.442,6,0,0,0
Moxley,P,CSM ,2017,2,8.31,0,3,9,2,0,0,0,0,17.1,23,22,16,9,7,5,1,1,65,0.351,3,4,0,0
De Fratus,P,CSUP ,2011,4,4.66,0,0,10,0,0,0,0,1,9.2,11,6,5,4,4,3,1,1,36,0.306,1,1,2,0
Thomas,P,CSM ,2016,2,4.3,4,3,11,11,0,0,0,0,60.2,86,35,29,18,39,8,2,5,252,0.341,3,0,1,0
Megyeri,P,CSUP,2013,2,1.64,1,0,9,0,0,0,1,0,11,7,2,2,1,7,0,0,0,38,0.184,2,2,0,0
Wiemers,P,ASU ,2015,4,9.85,0,1,10,6,0,0,0,0,28.1,45,36,31,18,19,11,3,3,121,0.372,0,8,0,0
McBeth,P,RU,2010,6,5.19,0,0,3,0,0,0,0,0,8.2,14,9,5,5,0,3,0,3,38,0.368,1,0,0,0
Martinez,P,NMHU ,2008,6,8.4,1,1,13,1,0,0,0,7,15,20,15,14,12,14,5,1,1,58,0.345,3,0,1,0
Aramovich,P,ASU,2013,7,12.63,0,7,13,8,0,0,1,0,41.1,73,62,58,26,25,15,6,4,187,0.39,16,6,2,0
Ast,P,CSM,2010,7,7.81,2,6,12,12,1,0,0,0,68,93,66,59,36,63,14,1,6,277,0.336,6,7,0,0
Capistran,P,CMU ,2012,1,5.68,0,0,5,0,0,0,0,0,6.1,8,6,4,1,3,3,0,0,27,0.296,0,1,1,0
Evans,P,CSM,2010,7,13.5,0,0,3,0,0,0,0,0,2,3,3,3,0,1,3,0,0,8,0.375,1,1,0,0
Bednarski,P,CCU ,2015,8,8.72,1,4,13,5,0,0,0,0,42.1,68,48,41,24,18,12,2,6,179,0.38,3,10,1,0
Wagner,P,CSM,2010,7,9.53,0,0,6,0,0,0,0,0,5.2,6,6,6,2,3,1,0,2,22,0.273,2,3,0,0
Carpenter,P,CMU,2010,2,7.88,0,0,2,2,0,0,0,0,8,9,8,7,5,10,0,1,1,30,0.3,0,1,1,0
Castaneda,P,CSUP ,2017,4,10.8,0,0,4,0,0,0,0,0,6.2,9,10,8,3,4,2,0,0,17,0.258,1,1,0,0
Ast,P,CSM,2009,8,7.12,1,11,12,12,0,0,0,0,67,104,81,53,29,66,19,4,5,298,0.349,7,8,1,0
Schweninger,P,NMHU ,2008,6,8.85,3,1,15,5,1,0,0,0,40.2,62,41,40,19,22,12,0,5,170,0.365,4,8,0,0
O'Conner,P,UNK,2010,3,6.9,7,4,14,13,2,0,1,0,60,67,50,46,29,51,11,0,6,242,0.277,6,12,3,0
Grieve,P,NMHU,2009,2,4.89,2,1,16,2,0,0,0,2,38.2,44,23,21,14,24,3,0,4,157,0.28,6,1,1,0
Delay,P,CMU ,2015,1,6.12,2,1,7,7,0,0,1,0,25,39,21,17,8,30,8,0,4,111,0.351,4,1,0,0
O'Donnell,P,MSUD ,2017,3,3.77,2,1,13,0,0,0,0,7,14.1,14,6,6,7,15,2,0,1,50,0.283,2,1,0,0
Sherry,P,ASU ,2016,4,9.97,1,3,14,2,0,0,0,0,21.2,29,25,24,23,10,7,2,0,85,0.341,7,2,0,0
Englehart,P,CSM ,2015,6,6.75,0,0,9,2,0,0,0,0,29.1,42,25,22,14,11,13,0,2,122,0.344,2,1,0,0
Stroup,P,MSUD ,2016,5,5.71,2,1,13,7,0,0,0,0,41,52,38,26,12,18,11,1,2,168,0.31,0,10,1,0
Perlitsh,P,CSUP,2009,3,1.64,2,1,7,1,0,0,0,0,11,14,4,2,5,5,1,0,0,43,0.326,1,2,1,0
Chavez,P,NMHU ,2015,5,0,0,0,1,0,0,0,0,0,0.2,0,0,0,1,1,0,0,0,2,0,0,0,0,0
Hernandez,P,CSUP ,2008,7,9.72,2,8,15,9,5,0,0,1,58.1,82,71,63,52,47,18,4,3,246,0.333,13,9,1,0
Kaiser,P,CCU ,2008,8,3.96,7,6,15,14,8,2,0,1,91,102,61,40,45,70,21,2,2,368,0.277,8,11,0,0
Perkins,P,CMU ,2011,2,6.14,0,1,7,0,0,0,0,0,7.1,8,5,5,4,8,2,0,1,28,0.286,0,1,0,0
Thomas,P,CSM ,2017,2,4.54,4,3,12,12,1,0,0,0,67.1,87,44,34,19,56,12,2,5,240,0.305,4,5,1,0
Timmins,P,CSUP ,2008,7,5.55,2,2,11,5,0,0,0,0,35.2,33,27,22,34,24,9,3,3,138,0.239,4,5,0,0
Storm,P,CSM,2014,4,0,0,0,5,0,0,0,0,0,7,6,0,0,1,5,0,0,0,25,0.24,1,0,0,0
Fudge,P,NMHU ,2015,5,13.5,0,0,1,0,0,0,0,0,0.2,2,1,1,0,2,1,0,0,4,0.5,0,0,0,0
Brown,P,ASU ,2017,9,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,0.163,0,0,0,0
Brennan,P,NMHU ,2016,7,14.09,0,0,7,0,0,0,0,0,7.2,18,14,12,8,7,2,1,1,40,0.45,2,1,1,0
Wagner,P,CSM,2010,7,9.53,0,0,6,0,0,0,0,0,5.2,6,6,6,2,3,1,0,2,22,0.273,2,3,0,0
Stastny,P,CCU ,2011,8,7.22,1,11,14,14,5,0,0,0,81,97,76,65,40,56,12,6,3,324,0.299,7,11,3,0
Perlitsh,P,CSUP,2009,3,1.64,2,1,7,1,0,0,0,0,11,14,4,2,5,5,1,0,0,43,0.326,1,2,1,0
Nutsch,P,ASU,2014,6,47.25,0,0,5,0,0,0,0,0,2.2,14,16,14,5,2,1,2,1,22,0.636,0,1,0,0
Carma,P,CMU,2009,1,7.4,7,4,16,14,2,0,0,0,69.1,106,70,57,31,56,15,1,10,298,0.356,6,9,1,0
Hall,P,CSUP ,2017,4,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5,0.062,0,0,0,0
Ricklefs,P,CSUP ,2017,4,5.09,3,3,19,3,1,0,0,4,35.1,37,26,20,18,22,6,1,2,112,0.261,3,3,0,0
Kaasch,P,MSUD ,2017,3,9,1,0,5,0,0,0,0,0,5,4,5,5,8,2,2,0,0,21,0.33,1,1,0,0
Evans,P,CMU ,2012,1,6.41,4,3,14,12,1,1,1,0,66,74,53,47,24,58,8,2,1,268,0.276,5,3,2,0
Kozloski,P,RU ,2008,3,7.71,7,4,11,11,4,1,0,0,60.2,88,55,52,19,46,14,2,8,263,0.335,10,5,0,0
McDermott,P,NMHU ,2012,2,6.17,0,0,11,0,0,0,0,0,11.2,10,12,8,9,5,1,0,0,43,0.233,0,1,0,0
Gabbert,P,NMHU,2010,1,6.75,0,0,12,1,0,0,1,0,13.1,16,10,10,12,9,2,1,1,51,0.314,3,5,1,0
King,P,NMHU ,2012,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0.25,0,0,0,0
Seefus,P,UNK,2009,5,6.64,1,3,16,5,0,0,0,0,40.2,54,46,30,29,24,7,0,3,173,0.312,7,7,0,0
Luzon,P,MSUD,2013,6,6.87,3,1,16,0,0,0,1,0,18.1,23,16,14,13,8,9,0,2,72,0.319,7,4,0,0
Aramovich,P,ASU,2014,6,6.39,0,0,7,0,0,0,0,0,12.2,19,11,9,6,8,5,0,1,52,0.365,2,3,0,0
Kennedy,P,RU ,2015,7,8.49,0,3,14,2,0,0,0,0,23.1,45,27,22,11,17,8,2,2,108,0.417,4,3,0,0
Hernandez,P,CSUP ,2015,2,40.5,0,0,3,0,0,0,0,0,0.2,3,4,3,1,0,0,0,0,5,0.6,0,0,0,0
Gojan,P,MSUD ,2012,7,4.24,0,2,3,3,2,0,0,0,17,13,10,8,9,12,3,0,0,62,0.21,0,2,1,0
Nelson,P,NMHU ,2016,7,8.1,2,2,13,0,0,0,0,0,10,14,9,9,9,10,3,0,3,44,0.318,2,1,0,0
Sanchez,P,RU ,2016,6,14.4,0,0,5,0,0,0,0,0,5,10,8,8,5,2,2,0,2,24,0.417,2,1,0,0
Gavin,P,ASU ,2017,9,16.3,0,1,10,2,0,0,0,0,17.2,32,32,32,15,8,5,1,3,61,0.392,2,2,0,0
Vela,P,NMHU ,2011,6,4.96,3,3,13,9,0,0,2,0,52.2,53,34,29,33,47,8,1,4,205,0.259,2,4,3,0
Heibult,P,RU ,2017,6,7.13,4,6,15,11,0,0,0,0,65.2,104,67,52,23,43,17,3,6,270,0.331,6,8,1,0
Prokopis,P,CMU ,2016,1,3.94,3,1,14,1,0,0,0,0,32,29,17,14,12,20,6,2,3,116,0.25,2,7,0,0
Fuhrman,P,CSUP ,2017,4,27,0,0,3,0,0,0,0,0,1.2,8,6,5,1,0,2,0,0,16,0.525,1,0,0,0
Gilman,P,CSM,2014,4,6.22,5,5,11,11,1,0,0,0,63.2,85,48,44,18,45,11,3,3,269,0.316,6,3,0,0
Jamison,P,MSUD,2010,4,5.78,4,4,13,13,3,0,0,0,76.1,94,66,49,50,43,19,0,10,310,0.303,17,10,0,0
Cardinale,P,CMU ,2016,1,21,0,1,2,2,0,0,0,0,3,2,7,7,5,2,0,0,0,10,0.2,0,0,0,0
Cheek,P,CCU,2010,8,7.43,3,9,20,10,4,0,0,0,80,138,86,66,22,44,36,2,10,364,0.379,7,8,0,0
Demello,P,CMU ,2012,1,0,0,0,2,0,0,0,0,0,2.1,1,0,0,0,1,1,0,0,8,0.125,0,0,0,0
Griffith,P,RU ,2017,6,5.21,0,1,20,0,0,0,0,0,19,19,13,11,12,11,5,0,2,89,0.297,2,3,0,0
Lamaster,P,CMU ,2008,1,6.2,3,4,19,3,0,0,0,4,40.2,40,28,28,24,45,10,1,2,152,0.263,1,6,0,0
Munsil,P,CCU ,2008,8,21.27,0,1,8,1,0,0,0,0,11,29,36,26,11,6,5,1,3,61,0.475,3,4,0,0
Edson,P,UNK,2009,5,6.75,0,0,3,0,0,0,0,0,4,7,5,3,2,1,1,0,0,18,0.389,0,0,0,0
Wodiuk,P,CMU ,2017,1,2.41,2,0,18,0,0,0,1,1,18.2,15,6,5,5,12,4,1,1,71,0.306,2,2,1,0
Ginn,P,CCU ,2017,8,4.62,2,3,18,1,0,0,1,1,25.1,37,22,13,8,24,7,0,2,104,0.314,2,3,0,0
Hansen,P,NMHU,2013,3,4.3,4,3,9,9,1,0,1,0,58.2,63,39,28,10,35,15,2,5,231,0.273,1,3,0,0
Piho,P,NMHU,2009,2,16.52,2,1,11,3,0,0,0,0,22.1,56,44,41,11,16,13,1,5,112,0.5,5,6,0,0
Hall,P,UNK,2010,3,5.68,1,1,12,0,0,0,0,0,19,27,19,12,8,11,3,1,3,87,0.31,2,5,0,0
Rogers,P,CSM ,2008,5,8.74,2,8,14,14,1,0,0,0,79.1,138,89,77,15,51,33,5,16,366,0.377,6,4,0,0
Brown,P,NMHU ,2015,5,5.4,0,2,4,1,0,0,0,0,6.2,14,8,4,1,7,0,1,2,31,0.452,1,1,0,0
Arnold,P,MSUD ,2017,3,7.2,0,0,5,0,0,0,0,0,5,7,4,4,3,6,2,0,1,22,0.332,1,1,0,0
Clark,P,NMHU,2013,3,8.71,3,0,14,0,0,0,1,0,20.2,28,21,20,14,20,1,3,3,86,0.326,0,5,1,0
Moore,P,CMU,2010,2,17.76,2,1,11,1,0,0,0,0,12.2,30,25,25,11,9,2,0,4,68,0.441,3,1,0,0
Heyliger,P,RU ,2015,7,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0.25,0,0,0,0
Fontneau,P,CCU ,2017,8,11.03,0,1,19,1,0,0,0,0,23.2,36,30,29,16,14,9,1,2,101,0.369,3,4,0,0
Behr,P,CMU ,2012,1,4.4,3,0,11,0,0,0,1,0,14.1,14,8,7,2,15,3,0,1,53,0.264,1,5,0,0
Garcia,P,CCU,2014,8,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,6,0,0,0,0,0
McDermott,P,NMHU ,2012,2,6.17,0,0,11,0,0,0,0,0,11.2,10,12,8,9,5,1,0,0,43,0.233,0,1,0,0
Fuller,P,CSM ,2011,7,7.07,3,5,11,11,1,1,0,0,63.2,76,63,50,35,50,15,3,4,253,0.3,6,5,0,0
Gallegos,P,RU ,2008,3,2.52,0,0,23,0,0,0,0,1,25,33,7,7,5,15,5,1,0,99,0.333,3,3,0,0
Hoffman,P,CSUP ,2017,4,7.33,2,2,7,6,0,0,0,0,27,40,23,22,7,15,9,1,2,123,0.318,2,2,1,0
Mitchell,P,CCU,2014,8,6.75,0,0,5,0,0,0,0,0,6.2,13,10,5,1,1,2,0,2,29,0.448,3,1,0,0
Logan,P,CCU,2010,8,8.74,7,8,17,16,5,0,0,0,80.1,131,101,78,37,45,37,4,10,365,0.359,1,7,0,0
Thoutt,P,RU ,2016,6,4.02,4,3,10,10,0,0,0,0,62.2,69,37,28,20,64,8,2,7,248,0.278,2,5,0,0
Bott,P,CMU ,2017,1,6.94,1,1,9,0,0,0,1,0,11.2,11,10,9,7,10,3,0,1,55,0.3,2,2,1,0
Ayers,P,NMHU,2009,2,12.46,1,1,5,0,0,0,0,1,4.1,9,6,6,4,4,1,0,4,20,0.45,0,1,0,0
Preston,P,NMHU ,2017,7,0,0,0,2,0,0,0,0,0,2,4,3,0,1,1,0,0,0,9,0.182,0,0,0,0
Lamb,P,CMU ,2008,1,8.1,1,1,7,3,0,0,0,0,13.1,22,12,12,3,6,6,0,1,58,0.379,2,6,0,0
Juracek,P,CSUP ,2017,4,15.43,0,0,8,0,0,0,0,0,7,15,14,12,3,2,4,0,1,41,0.39,1,2,0,0
King,P,NMHU ,2012,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0.25,0,0,0,0
Rodger,P,CSM,2013,5,12.86,0,0,6,1,0,0,1,0,7,16,13,10,3,6,3,1,0,39,0.41,0,4,0,0
Sandoval,P,CMU ,2016,1,0,1,0,3,0,0,0,0,0,5.2,2,0,0,3,3,1,0,0,19,0.105,0,1,0,0
Perry,P,MSUD,2010,4,6.24,3,4,12,12,0,0,0,0,62,71,47,43,43,49,9,0,8,243,0.292,7,13,1,0
Ross,P,CCU,2009,7,24.47,0,0,10,0,0,0,0,0,10.2,31,34,29,6,9,12,1,2,64,0.484,2,7,1,0
Hall,P,CSUP ,2017,4,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5,0.062,0,0,0,0
Flory,P,CSUP ,2012,3,5.89,0,1,14,1,0,0,0,2,18.1,20,15,12,12,17,6,0,0,70,0.286,1,2,0,0
Patton,P,CSM,2013,5,0,0,0,2,0,0,0,1,0,2,2,0,0,0,0,0,0,0,8,0.25,0,0,0,0
Fuller,P,CSM ,2011,7,7.07,3,5,11,11,1,1,0,0,63.2,76,63,50,35,50,15,3,4,253,0.3,6,5,0,0
Ast,P,CSM,2009,8,7.12,1,11,12,12,0,0,0,0,67,104,81,53,29,66,19,4,5,298,0.349,7,8,1,0
Guinn,P,CMU ,2008,1,5.8,3,0,16,5,0,0,0,1,35.2,45,27,23,14,25,4,0,7,147,0.306,3,7,0,0
Thoutt,P,RU ,2017,6,3.67,2,2,5,5,1,0,0,0,27,24,12,11,9,17,7,1,2,117,0.277,2,3,1,0
Hand,P,MSUD,2013,6,3.86,0,3,15,0,0,0,1,0,18.2,25,9,8,11,11,2,0,0,73,0.342,3,1,0,0
Souza,P,CCU,2010,8,14.18,0,0,12,0,0,0,0,0,13.1,25,21,21,14,8,8,3,3,63,0.397,0,3,0,0
Richmond,P,CSUP,2010,5,9.16,1,1,14,1,0,0,1,1,18.2,23,21,19,21,15,3,0,2,77,0.299,5,3,0,0
Castaneda,P,CSUP ,2016,3,7.59,0,0,11,0,0,0,0,0,10.2,21,12,9,0,6,6,0,1,55,0.382,0,1,1,0
Torres,P,NMHU ,2012,2,5.2,5,3,13,9,2,0,0,0,55.1,62,36,32,14,38,11,4,4,223,0.278,1,8,0,0
Rich,P,CSUP ,2015,2,4.15,4,1,27,3,0,0,0,1,30.1,40,15,14,13,24,7,1,1,120,0.333,3,1,0,0
Kriesel,P,ASU,2013,7,7.71,2,1,14,0,0,0,1,0,25.2,36,27,22,20,12,9,0,5,110,0.327,4,4,1,0
Anderson,P,CCU,2010,8,22.65,0,1,12,1,0,0,0,0,10.1,27,27,26,16,5,2,1,1,56,0.482,2,3,0,0
G.Henrichsen,P,CCU,2014,8,7.74,0,6,14,4,0,0,0,0,45.1,76,50,39,15,13,17,1,1,201,0.378,8,8,2,0
Gimenez,P,CSUP ,2016,3,2.25,0,0,4,0,0,0,0,0,4,7,3,1,0,3,2,1,1,21,0.333,0,0,0,0
Badalucco,P,NMHU,2014,2,11.88,1,1,9,0,0,0,0,1,8.1,18,13,11,7,3,4,1,3,39,0.462,3,0,0,0
Bradshaw,P,ASU ,2016,4,9.95,0,0,8,0,0,0,0,0,12.2,23,17,14,3,6,8,0,2,58,0.397,2,2,0,0
Aronson,P,RU ,2011,5,3.98,2,1,18,0,0,0,0,2,20.1,19,10,9,9,16,2,1,0,74,0.257,1,4,0,0
Salazar,P,CSUP,2009,3,27,0,0,1,0,0,0,0,0,0.1,3,2,1,0,0,2,0,0,5,0.6,0,0,0,0
Olson,P,CMU ,2015,1,45,0,0,2,0,0,0,0,0,1,4,5,5,3,2,0,1,0,6,0.667,1,0,0,0
Brandon,P,NMHU ,2017,7,3.48,1,2,17,0,0,0,0,4,20.2,26,11,8,7,25,7,1,1,109,0.294,4,4,0,0
Hernandez,P,NMHU,2013,3,8.92,2,4,14,8,0,0,1,0,39.1,71,47,39,19,25,11,1,1,174,0.408,4,5,1,0
Gutierrez,P,NMHU ,2016,7,3.68,1,2,15,1,0,0,0,3,36.2,39,16,15,6,30,5,1,1,138,0.283,4,8,1,0
Murray,P,CCU,2014,8,10.57,0,0,8,0,0,0,0,0,7.2,16,10,9,7,4,1,0,1,37,0.432,2,2,0,0
Guyer,P,CCU,2010,8,9,0,0,2,0,0,0,0,0,2,5,3,2,0,1,0,0,1,12,0.417,0,0,0,0
Gimenez,P,CSUP ,2016,3,2.25,0,0,4,0,0,0,0,0,4,7,3,1,0,3,2,1,1,21,0.333,0,0,0,0
Asnicar,P,RU,2009,6,8.25,0,2,11,0,0,0,0,0,12,14,12,11,12,6,4,1,1,46,0.304,3,2,0,0
Manos,P,CSUP,2010,5,4.32,0,1,2,2,0,0,0,0,8.1,9,4,4,4,3,4,1,1,33,0.273,1,1,1,0
Norris,P,NMHU ,2016,7,3.72,1,1,16,0,0,0,0,2,19.1,22,12,8,6,12,7,1,1,75,0.293,5,5,0,0
McMahon,P,RU ,2017,6,81,0,0,1,0,0,0,0,0,0.2,3,6,6,3,1,1,1,0,6,0.646,0,1,0,0
Capistran,P,CMU ,2012,1,5.68,0,0,5,0,0,0,0,0,6.1,8,6,4,1,3,3,0,0,27,0.296,0,1,1,0
Hoffman,P,CSUP ,2017,4,7.33,2,2,7,6,0,0,0,0,27,40,23,22,7,15,9,1,2,123,0.318,2,2,1,0
Long,P,RU,2014,5,12.38,0,0,11,1,0,0,0,0,16,32,23,22,6,4,7,3,3,69,0.464,3,2,0,0
Guyer,P,CCU,2010,8,9,0,0,2,0,0,0,0,0,2,5,3,2,0,1,0,0,1,12,0.417,0,0,0,0
Castaneda,P,CSUP ,2016,3,7.59,0,0,11,0,0,0,0,0,10.2,21,12,9,0,6,6,0,1,55,0.382,0,1,1,0
Pavel,P,MSUD ,2015,3,9,0,0,1,0,0,0,0,0,1,3,1,1,0,1,0,0,0,5,0.6,0,0,0,0
Touhey,P,CSM ,2012,6,6.5,0,0,6,0,0,0,0,0,18,30,18,13,3,7,3,1,1,84,0.357,3,4,1,0
Walter,P,MSUD,2010,4,7.26,2,2,18,2,0,0,0,1,39.2,56,35,32,18,26,9,0,8,165,0.339,3,1,2,0
Cantrell,P,CCU ,2016,8,3.52,0,0,16,0,0,0,0,0,15.1,22,14,6,8,4,2,1,3,65,0.338,2,2,0,0
Martinez,P,NMHU,2014,2,16.2,0,0,5,1,0,0,0,0,6.2,11,13,12,6,2,5,0,3,28,0.393,1,2,0,0
Tessone,P,CSUP ,2015,2,4.7,2,0,14,9,0,0,0,0,38.1,40,26,20,21,22,9,0,3,149,0.268,2,2,2,0
Gallegos,P,RU ,2008,3,2.52,0,0,23,0,0,0,0,1,25,33,7,7,5,15,5,1,0,99,0.333,3,3,0,0
Demello,P,CMU ,2012,1,0,0,0,2,0,0,0,0,0,2.1,1,0,0,0,1,1,0,0,8,0.125,0,0,0,0
Clemons,P,CMU,2010,2,33.75,0,0,2,0,0,0,0,0,1.1,8,7,5,1,1,3,0,1,12,0.667,0,0,0,0
Wilson,P,CMU,2014,1,4.3,3,1,10,7,0,0,3,0,29.1,24,15,14,18,29,2,0,3,112,0.214,3,8,1,0
Ross,P,RU,2013,4,4.67,0,1,12,0,0,0,1,1,17.1,17,13,9,8,8,3,0,1,63,0.27,4,1,0,0
Griffith,P,RU ,2016,6,7.11,0,0,11,0,0,0,0,0,6.1,15,12,5,6,1,2,2,2,35,0.429,2,1,0,0
Sawyer,P,CMU,2010,2,15,0,0,5,0,0,0,0,0,6,12,10,10,5,6,2,0,1,29,0.414,1,2,0,0
Nowak,P,UNK ,2012,5,6.19,0,1,5,4,0,0,0,0,16,24,20,11,8,10,1,1,2,72,0.333,0,4,0,0
Thornton,P,NMHU ,2008,6,6.64,4,0,21,4,0,0,0,0,61,99,52,45,18,51,17,2,4,265,0.374,7,3,2,0
Martinez,P,NMHU,2014,2,16.2,0,0,5,1,0,0,0,0,6.2,11,13,12,6,2,5,0,3,28,0.393,1,2,0,0
Wilde,P,CSUP ,2016,3,6,0,0,3,0,0,0,0,0,3,3,2,2,2,4,1,0,0,11,0.273,1,0,0,0
Salazar,P,CSUP,2009,3,27,0,0,1,0,0,0,0,0,0.1,3,2,1,0,0,2,0,0,5,0.6,0,0,0,0
Ramos,P,CSM ,2015,6,0,0,0,2,0,0,0,0,0,3,1,0,0,1,6,0,0,0,11,0.091,0,0,1,0
Rooney,P,CSM,2014,4,6.24,5,5,12,10,1,0,0,0,57.2,66,51,40,25,39,13,6,4,222,0.297,5,10,2,0
Cunningham,P,ASU,2013,7,40.5,0,0,1,0,0,0,1,0,0.2,3,3,3,1,0,2,0,0,5,0.6,0,0,0,0
Bradshaw,P,ASU ,2015,4,23.14,0,0,9,0,0,0,0,0,7,22,21,18,4,3,5,2,0,42,0.524,1,0,0,0
Quackenbu,P,RU ,2017,6,8.09,4,6,13,13,0,0,1,0,65.2,109,62,59,22,37,16,4,7,260,0.355,4,7,2,0
Dye,P,CMU ,2017,1,2.92,0,0,11,0,0,0,1,1,12.1,11,5,4,6,8,4,1,0,57,0.303,2,2,1,0
O'Conner,P,UNK,2010,3,6.9,7,4,14,13,2,0,1,0,60,67,50,46,29,51,11,0,6,242,0.277,6,12,3,0
Tomlinson,P,CCU ,2008,8,7.09,1,4,17,3,0,0,0,1,39.1,54,41,31,12,23,7,1,5,172,0.314,3,8,1,0
Bonati,P,RU,2009,6,11.05,2,5,11,11,0,0,0,0,44,58,64,54,45,33,12,4,5,176,0.33,9,9,0,0
Gojan,P,MSUD ,2012,7,4.24,0,2,3,3,2,0,0,0,17,13,10,8,9,12,3,0,0,62,0.21,0,2,1,0
